alpha,beta,negative_log_likelihood
0.12,0.91,168.976694375858
0.12,0.92,170.2677758364484
0.12,0.93,171.56879817238575
0.12,0.94,172.87941418391694
0.12,0.95,174.1992902882936
0.12,0.96,175.52810596027265
0.12,0.97,176.86555319477685
0.12,0.98,178.21133599100705
0.12,0.99,179.5651698573085
0.12,1.0,180.92678133609135
0.13,0.05,197.88486993281361
0.13,0.06,193.89261959542745
0.13,0.07,190.0279843531493
0.13,0.08,186.2916528213089
0.13,0.09,182.68410554228683
0.13,0.1,179.20561147781248
0.13,0.11,175.85622620459924
0.13,0.12,172.63579183624304
0.13,0.13,169.54393866113273
0.13,0.14,166.58008845363912
0.13,0.15,163.74345938523268
0.13,0.16,161.0330724343977
0.13,0.17,158.44775917011148
0.13,0.18,155.98617076387256
0.13,0.19,153.6467880701815
0.13,0.2,151.42793260519178
0.13,0.21,149.32777824789497
0.13,0.22,147.34436348745177
0.13,0.23,145.47560404372095
0.13,0.24,143.71930569515166
0.13,0.25,142.07317715837578
0.13,0.26,140.5348428764397
0.13,0.27,139.10185558696625
0.13,0.28,137.77170855704728
0.13,0.29,136.54184738773574
0.13,0.3,135.4096813071302
0.13,0.31,134.37259388680764
0.13,0.32,133.4279531313843
0.13,0.33,132.5731209050349
0.13,0.34,131.80546167165355
0.13,0.35,131.12235053689002
0.13,0.36,130.521180590485
0.13,0.37,129.99936955612182
0.13,0.38,129.55436576346662
0.13,0.39,129.18365346322543
0.13,0.4,128.88475751099978
0.13,0.41,128.65524744956636
0.13,0.42,128.49274102205018
0.13,0.43,128.39490715042086
0.13,0.44,128.3594684149274
0.13,0.45,128.38420307060596
0.13,0.46,128.46694663695172
0.13,0.47,128.60559309634345
0.13,0.48,128.7980957359152
0.13,0.49,129.04246766639108
0.13,0.5,129.33678204997295
0.13,0.51,129.67917206779146
0.13,0.52,130.06783065572205
0.13,0.53,130.50101003559132
0.13,0.54,130.97702106699137
0.13,0.55,131.49423244310137
0.13,0.56,132.05106975212283
0.13,0.57,132.64601442418993
0.13,0.58,133.27760258191628
0.13,0.59,133.94442381112034
0.13,0.6,134.64511986673125
0.13,0.61,135.37838332740844
0.13,0.62,136.14295621104517
0.13,0.63,136.93762856203801
0.13,0.64,137.76123702001576
0.13,0.65,138.61266337861073
0.13,0.66,139.4908331418459
0.13,0.67,140.3947140847664
0.13,0.68,141.32331482409333
0.13,0.69,142.2756834038997
0.13,0.7,143.2509059005905
0.13,0.71,144.24810505084005
0.13,0.72,145.26643890554882
0.13,0.73,146.30509951236783
0.13,0.74,147.36331162887305
0.13,0.75,148.44033146804927
0.13,0.76,149.53544547738096
0.13,0.77,150.6479691525109
0.13,0.78,151.77724588614234
0.13,0.79,152.92264585260446
0.13,0.8,154.08356492827656
0.13,0.81,155.25942364787065
0.13,0.82,156.44966619640948
0.13,0.83,157.6537594365865
0.13,0.84,158.8711919710704
0.13,0.85,160.10147323921876
0.13,0.86,161.34413264756972
0.13,0.87,162.59871873340998
0.13,0.88,163.86479836066343
0.13,0.89,165.14195594728852
0.13,0.9,166.4297927233405
0.13,0.91,167.72792601882986
0.13,0.92,169.03598858047766
0.13,0.93,170.35362791647182
0.13,0.94,171.68050566830541
0.13,0.95,173.01629700879062
0.13,0.96,174.3606900653364
0.13,0.97,175.71338536759035
0.13,0.98,177.07409531855524
0.13,0.99,178.44254368830084
0.13,1.0,179.81846512941465
0.14,0.05,197.01874298992223
0.14,0.06,192.87864892962352
0.14,0.07,188.87469920535287
0.14,0.08,185.00756006258965
